하가,97,187
차카,40,143
타타,60,183
차차,96,174
가다,80,142
바차,53,186
자하,45,172
가바,86,150
나마,58,173
사파,54,170
바바,77,170
타파,92,170
가라,68,161
자하,47,152
바사,47,189
사차,46,177
타가,42,184
차마,60,149
나가,92,181
나타,46,178
자다,88,157
하나,89,185
카자,93,158
라자,81,175
가다,82,140
자자,97,162
나마,81,167
가나,82,170
가파,46,145
마아,52,176
다아,46,179
다바,92,183
아카,86,171
하카,42,187
바마,86,145
카마,43,154
아나,76,172
바자,50,187
타자,42,144
사바,44,146
사자,66,153
마파,46,145
파마,75,149
타파,42,147
라나,95,170
나카,67,140
자가,98,172
나하,78,167
차타,43,167
가아,68,186
마나,52,158
하카,49,175
자아,86,176
사사,88,165
타가,94,174
바사,55,146
아바,66,159
파마,60,177
바사,52,160
사타,48,188
카나,85,155
파라,46,148
아다,50,170
파하,86,174
파다,76,183
타카,72,170
바바,65,173
하차,70,167
바가,76,150
차다,84,158
자아,48,156
라차,53,173
바하,82,166
카자,60,188
나자,60,187
나나,72,161
다자,53,146
가라,52,169
자아,64,143
라차,72,181
나라,86,187
자카,94,163
타아,94,180
나자,58,181
파가,63,157
아바,63,156
타라,57,159
타하,88,167
다가,51,151
사파,67,175
타다,58,165
바카,62,162
하카,54,172
나아,61,176
바차,57,184
가파,90,166
하차,62,161
파마,94,169
하차,90,143
차마,61,162
아다,49,180
라사,75,147
사사,67,161
자바,43,154
사사,42,157
가파,91,140
카마,47,179
라마,99,141
나라,77,168
파마,95,183
아파,94,169
다나,49,175
다자,89,163
차바,43,185
가아,73,150
자바,95,149
하라,98,155
바라,43,170
바바,74,145
하마,44,179
바라,95,181
파사,51,185
나가,74,141
파마,83,182
타아,94,146
사하,86,160
다타,83,168
카파,93,155
아다,84,160
파라,59,187
라나,80,149
파아,41,165
차가,51,171
차자,60,150
차자,57,164
사다,60,179
파자,97,145
자나,54,185
카바,90,185
자마,78,156
다나,55,163
타카,46,142
파아,81,172
카다,59,140
타아,84,189
하하,92,188
차바,99,155
나파,91,167
파하,59,177
타타,68,182
타카,44,183
아하,75,165
가나,83,180
나자,41,161
바자,93,166
